Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_Score,Log_Views,Hashtag_Length,Hashtag_Sentiment,Topic,Topic_Name,Index,Trend_Prediction
Post_1,TikTok,#Challenge,Video,UK,1.1439370750307265,0.609387052281039,0.0899906057265094,-0.3880392346022855,High,0.3638188746089973,0.7626438934451719,10,0.0,2,Lifestyle,0,0.021360388075011935
Post_2,Instagram,#Education,Shorts,India,1.1387813333551762,-0.2510478589336008,0.5278256673375402,0.16457282964977804,Medium,0.3950329928522234,0.760236196429132,10,0.0,2,Lifestyle,1,0.02135184221060905
Post_3,Twitter,#Challenge,Video,Brazil,0.8031996992475707,0.5242518638293356,-0.38180462922912556,0.7935690016047431,Medium,0.434803983863131,0.5895626975151903,10,0.0,2,Lifestyle,2,0.021343296346206166
Post_4,YouTube,#Education,Shorts,Australia,-1.080016491242614,-0.8615367204588159,-1.3361302299241,0.8343865403680717,Low,-0.6108242253143645,0.0,10,0.0,2,Lifestyle,3,0.021334750481803277
Post_5,TikTok,#Dance,Post,Brazil,-1.6645839935401838,-0.5550555846881818,0.6558558649214024,-1.2961069494571271,Medium,-0.7149726656910226,0.0,6,0.0,1,Education,4,0.021326204617400393
Post_6,Instagram,#Challenge,Shorts,Australia,-0.8020730888332073,-0.7980940999630275,1.2544770359947788,1.557130026909824,Low,0.302859968527092,0.0,10,0.0,2,Lifestyle,5,0.021317658752997508
Post_7,YouTube,#Comedy,Tweet,Japan,-1.2792279357445626,-1.159482166762287,1.632752766238525,0.5432727733390484,Medium,-0.06567114073231903,0.0,7,0.0,1,Education,6,0.021309112888594623
Post_8,YouTube,#Gaming,Shorts,UK,-0.2927208955490332,0.4574559367571618,-0.18227570802815363,0.6125855750126254,High,0.1487612270481501,0.0,7,0.0,2,Lifestyle,7,0.02130056702419174
Post_9,Twitter,#Education,Live Stream,India,-0.22238997338615882,1.6946874970559396,1.5662775333086618,0.3700607820860895,Medium,0.852158959766133,0.0,10,0.0,2,Lifestyle,8,0.021292021159788854
Post_10,TikTok,#Gaming,Shorts,India,0.9622937997310321,-1.6824802112490815,0.6488711484179023,1.2470427555842964,Low,0.2939318731210373,0.6741140949534182,7,0.0,2,Lifestyle,9,0.021283475295385965
Post_11,Instagram,#Comedy,Live Stream,Germany,1.0801193539080045,0.8897276390584864,-0.1550938063642861,0.024757006475906135,High,0.4598775482695277,0.7324252737535012,7,0.0,1,Education,10,0.02127492943098308
Post_12,Twitter,#Music,Reel,Australia,1.43324860003415,1.4854037537648748,0.6387209446320277,-1.1124630314876398,Medium,0.6112275667358531,0.8892272369761652,6,0.0,0,Entertainment,11,0.021266383566580196
Post_13,YouTube,#Viral,Shorts,Canada,1.1043213262948686,-0.387397184188282,-0.4436004461763485,1.6943553716373099,High,0.491919766891887,0.74399300483774,6,0.0,2,Lifestyle,12,0.02125783770217731
Post_14,YouTube,#Fitness,Reel,Japan,-0.5900264240594969,0.4256203092396181,-0.16328278433390694,0.408637907057949,High,0.020237251976040815,0.0,8,0.0,0,Entertainment,13,0.021249291837774426
Post_15,Twitter,#Comedy,Post,Germany,-0.01526469839365569,0.8267353593219233,0.12353788942558641,-0.5466185232797116,High,0.0970975067685356,0.0,7,0.0,1,Education,14,0.02124074597337154
Post_16,YouTube,#Gaming,Live Stream,Canada,0.40145202839761135,-0.8815457068071655,-0.22218837376244013,0.1269758857116863,Medium,-0.143826541615077,0.3375088622802788,7,0.0,2,Lifestyle,15,0.021232200108968653
Post_17,Twitter,#Dance,Reel,UK,-1.5069761774392674,-0.26558347297751955,-1.0380239058535325,-0.2885508596748584,Low,-0.7747836039862944,0.0,6,0.0,1,Education,16,0.02122365424456577
Post_18,TikTok,#Tech,Shorts,UK,-0.30354425277462044,-1.572749489024303,0.14397592687917796,1.1796203030472716,Medium,-0.13817437796811843,0.0,5,0.0,0,Entertainment,17,0.021215108380162884
Post_19,TikTok,#Fashion,Post,USA,0.6626865518840223,-0.5968056372280554,-0.015227438941980368,-0.37690717857592315,Low,-0.08156342571548415,0.5084346989121771,8,0.0,0,Entertainment,18,0.02120656251576
Post_20,YouTube,#Education,Tweet,UK,0.4453135208099327,0.32708575112111826,1.1767505602243018,0.8593111437981661,Low,0.7021152439883798,0.36832626744857383,10,0.0,2,Lifestyle,19,0.021198016651357114
Post_21,Twitter,#Gaming,Video,Brazil,-1.6993742860188348,0.11663805017544038,1.3754537021342195,-0.554529984480837,Low,-0.19045312954750296,0.0,7,0.0,2,Lifestyle,20,0.02118947078695423
Post_22,TikTok,#Viral,Live Stream,USA,0.9801251008848296,-1.4972030945844126,0.7677145513887863,-1.4660283329538657,Medium,-0.3038479438161656,0.6831600249755941,6,0.0,2,Lifestyle,21,0.02118092492255134
Post_23,YouTube,#Dance,Shorts,Brazil,-1.298049407913933,-0.19250356023430934,-0.9630156202494424,-1.0047131307041701,Low,-0.8645704297754637,0.0,6,0.0,1,Education,22,0.021172379058148456
Post_24,Twitter,#Education,Shorts,Japan,1.27713871738655,1.374079518084376,0.4444907738819869,0.23745629080350897,High,0.8332913250391055,0.8229197063443661,10,0.0,2,Lifestyle,23,0.02116383319374557
Post_25,YouTube,#Dance,Tweet,Germany,-1.207785555182201,1.546220541218411,1.6466533843046043,-1.486682147593972,High,0.12460155568671055,0.0,6,0.0,1,Education,24,0.021155287329342687
Post_26,YouTube,#Dance,Live Stream,Brazil,1.6560507833271902,-0.3754319766316339,0.09284642577473852,-0.6995967774784647,Low,0.16846711374795756,0.9768403516600089,6,0.0,1,Education,25,0.021146741464939802
Post_27,Instagram,#Gaming,Video,India,1.2849566143531044,-0.27156954091553,-1.0066098853230123,-0.4702344155768101,Low,-0.11586430686556198,0.8263470370119073,7,0.0,2,Lifestyle,26,0.021138195600536917
Post_28,YouTube,#Tech,Post,Canada,-0.4245945438369119,0.49278343723854484,-0.5109014583972661,1.671881220791635,Medium,0.30729216394900044,0.0,5,0.0,0,Entertainment,27,0.02112964973613403
Post_29,Instagram,#Gaming,Live Stream,Canada,-0.5757104013208474,-1.1060301828019279,0.923855652338952,-1.5448628932411865,Low,-0.5756869562562524,0.0,7,0.0,2,Lifestyle,28,0.021121103871731144
Post_30,YouTube,#Education,Shorts,Japan,1.5001355086854193,0.4146943495888746,-1.62274445886083,-1.3847433200821255,Medium,-0.2731644801671654,0.9163449338793676,10,0.0,2,Lifestyle,29,0.02111255800732826
Post_31,Instagram,#Comedy,Reel,Australia,-0.7732320453214793,-0.6603452541950615,1.183976129021026,-0.4610627216179833,Low,-0.1776659730283745,0.0,7,0.0,1,Education,30,0.021104012142925375
Post_32,Twitter,#Music,Video,USA,-0.10406830584221423,-1.1052819243096765,1.343902051721857,1.3688652554954317,Medium,0.37585426926634946,0.0,6,0.0,0,Entertainment,31,0.02109546627852249
Post_33,YouTube,#Gaming,Live Stream,USA,1.7017041769199428,-1.6818081642699299,-1.5834167201243734,1.4812360097238066,Low,-0.02057117443763845,0.9938827505391029,7,0.0,2,Lifestyle,32,0.021086920414119605
Post_34,YouTube,#Viral,Reel,Australia,0.350593555888394,-1.626679527021378,0.9445001346153071,-0.6299339111499708,Low,-0.2403799369169119,0.30054416685179314,6,0.0,2,Lifestyle,33,0.021078374549716717
Post_35,YouTube,#Education,Tweet,UK,-1.0673813608923384,0.8117979027543881,1.4341872542104497,-1.6013633285447992,Low,-0.10568988311807498,0.0,10,0.0,2,Lifestyle,34,0.021069828685313832
Post_36,TikTok,#Education,Live Stream,Japan,-0.4373680925575306,-0.6465440420046487,-1.5172511544286553,-0.3059840794897277,High,-0.7267868421201406,0.0,10,0.0,2,Lifestyle,35,0.021061282820910947
Post_37,Instagram,#Music,Reel,Germany,-1.6755190447972856,-0.31586921498455595,-0.456365617717228,-0.719060372291853,Low,-0.7917035624477307,0.0,6,0.0,0,Entertainment,36,0.021052736956508063
Post_38,Instagram,#Dance,Video,India,-0.7717485018967628,-1.6675150414040556,-1.4761686346987088,0.8226943808938421,Medium,-0.7731844492764213,0.0,6,0.0,1,Education,37,0.021044191092105178
Post_39,TikTok,#Gaming,Shorts,USA,1.374032947105606,1.5104149867003118,1.3440740890741598,1.1664578720223904,High,1.348744973725617,0.8645901744001904,7,0.0,2,Lifestyle,38,0.021035645227702293
Post_40,Twitter,#Comedy,Post,USA,1.381724074772589,0.16043195693025947,1.0880825088473567,-0.7670892429464731,Low,0.46578732440093296,0.8678246265964555,7,0.0,1,Education,39,0.021027099363299405
Post_41,Twitter,#Education,Reel,India,1.2923263647146865,0.7200392409823863,-0.2979536237166633,1.2490731305828155,High,0.7408712781408062,0.8295671816975497,10,0.0,2,Lifestyle,40,0.02101855349889652
Post_42,YouTube,#Fashion,Live Stream,Australia,-1.0625812584950456,1.0497856732065374,-1.0961725309319328,-0.9024242385374066,High,-0.502848088689462,0.0,8,0.0,0,Entertainment,41,0.021010007634493635
Post_43,Twitter,#Comedy,Post,Brazil,1.0053912501486382,-1.3982666939422963,1.4641217535111646,-0.06555967449269415,Medium,0.2514216588062031,0.6958391789529804,7,0.0,1,Education,42,0.02100146177009075
Post_44,YouTube,#Comedy,Shorts,Brazil,1.0868209957988715,-0.553337361483753,-1.1191223137291475,1.1517551565158741,Medium,0.14152911927546127,0.735641853357039,7,0.0,1,Education,43,0.020992915905687866
Post_45,Twitter,#Comedy,Shorts,Germany,0.9867965922395823,0.8971963673422539,-0.26361496819699265,0.09140931677211347,Low,0.4279468270392393,0.6865235890490551,7,0.0,1,Education,44,0.020984370041284978
Post_46,Instagram,#Gaming,Tweet,Brazil,-1.5224235305216616,0.15793776195608847,0.19107975393972815,-0.5154627689920936,High,-0.42221719590448464,0.0,7,0.0,2,Lifestyle,45,0.020975824176882093
Post_47,Instagram,#Tech,Reel,Japan,-0.6124872029857583,0.511954096942798,0.42315814219641995,0.055842747832540646,Medium,0.09461694599650008,0.0,5,0.0,0,Entertainment,46,0.020967278312479208
Post_48,Instagram,#Dance,Live Stream,India,-0.1926958067502868,-1.2252804158447923,-0.907757222689732,0.7461702473289737,Medium,-0.3948907994889594,0.0,6,0.0,1,Education,47,0.020958732448076323
Post_49,Twitter,#Gaming,Live Stream,USA,1.5192379290322187,0.43195279314626334,1.2233382752279431,0.8056112257338898,High,0.9950350557850787,0.9239564466742761,7,0.0,2,Lifestyle,48,0.02095018658367344
Post_50,Instagram,#Fashion,Reel,Japan,0.1738600212991354,1.184659266434834,-0.996941386123586,1.1278107341195476,Low,0.3723471589324828,0.16029748201364058,8,0.0,0,Entertainment,49,0.020941640719270554
Post_51,YouTube,#Dance,Post,Australia,-0.28275751384216147,-0.18300483437434145,0.595952458849512,0.27204267870931403,Medium,0.10055819733558077,0.0,6,0.0,1,Education,50,0.020933094854867666
Post_52,YouTube,#Music,Live Stream,Canada,-0.16142353364461245,-0.6371700258933892,-0.8606878030996424,-1.1400481262951039,Medium,-0.699832372233187,0.0,6,0.0,0,Entertainment,51,0.02092454899046478
Post_53,YouTube,#Comedy,Tweet,Japan,-0.7785803392844871,1.5306318226298423,1.3805804152328478,0.5910916052007182,Low,0.6809308759447303,0.0,7,0.0,1,Education,52,0.020916003126061896
Post_54,Twitter,#Fitness,Reel,Canada,-1.4401879432698268,0.5618241397874726,-0.25291424488374864,1.4193445787344712,Medium,0.07201663259209207,0.0,8,0.0,0,Entertainment,53,0.02090745726165901
